Sr. No.,Title,Funding source,Amount,Role,Duration
1.,Data-driven Structural Health Monitoring for Railway Truss Bridges,Department of Science & Technology,₹ 35 L,PI,2024 - 29
2.,Truss Topology Optimization using Graph based Generative Machine Learning,IIT Indore,₹ 10 L,PI,2024 - 26
